dt,token_symbol,total_supply
2023-10-01 00:00:00.000 UTC,rsETH,0
2023-10-02 00:00:00.000 UTC,rsETH,0
2023-10-03 00:00:00.000 UTC,rsETH,0
2023-10-04 00:00:00.000 UTC,rsETH,0
2023-10-05 00:00:00.000 UTC,rsETH,0
2023-10-06 00:00:00.000 UTC,rsETH,0
2023-10-07 00:00:00.000 UTC,rsETH,0
2023-10-08 00:00:00.000 UTC,rsETH,0
2023-10-09 00:00:00.000 UTC,rsETH,0
2023-10-10 00:00:00.000 UTC,rsETH,0
2023-10-11 00:00:00.000 UTC,rsETH,0
2023-10-12 00:00:00.000 UTC,rsETH,0
2023-10-13 00:00:00.000 UTC,rsETH,0
2023-10-14 00:00:00.000 UTC,rsETH,0
2023-10-15 00:00:00.000 UTC,rsETH,0
2023-10-16 00:00:00.000 UTC,rsETH,0
2023-10-17 00:00:00.000 UTC,rsETH,0
2023-10-18 00:00:00.000 UTC,rsETH,0
2023-10-19 00:00:00.000 UTC,rsETH,0
2023-10-20 00:00:00.000 UTC,rsETH,0
2023-10-21 00:00:00.000 UTC,rsETH,0
2023-10-22 00:00:00.000 UTC,rsETH,0
2023-10-23 00:00:00.000 UTC,rsETH,0
2023-10-24 00:00:00.000 UTC,rsETH,0
2023-10-25 00:00:00.000 UTC,rsETH,0
2023-10-26 00:00:00.000 UTC,rsETH,0
2023-10-27 00:00:00.000 UTC,rsETH,0
2023-10-28 00:00:00.000 UTC,rsETH,0
2023-10-29 00:00:00.000 UTC,rsETH,0
2023-10-30 00:00:00.000 UTC,rsETH,0
2023-10-31 00:00:00.000 UTC,rsETH,0
2023-11-01 00:00:00.000 UTC,rsETH,0
2023-11-02 00:00:00.000 UTC,rsETH,0
2023-11-03 00:00:00.000 UTC,rsETH,0
2023-11-04 00:00:00.000 UTC,rsETH,0
2023-11-05 00:00:00.000 UTC,rsETH,0
2023-11-06 00:00:00.000 UTC,rsETH,0
2023-11-07 00:00:00.000 UTC,rsETH,0
2023-11-08 00:00:00.000 UTC,rsETH,0
2023-11-09 00:00:00.000 UTC,rsETH,0
2023-11-10 00:00:00.000 UTC,rsETH,0
2023-11-11 00:00:00.000 UTC,rsETH,0
2023-11-12 00:00:00.000 UTC,rsETH,0
2023-11-13 00:00:00.000 UTC,rsETH,0
2023-11-14 00:00:00.000 UTC,rsETH,0
2023-11-15 00:00:00.000 UTC,rsETH,0
2023-11-16 00:00:00.000 UTC,rsETH,0
2023-11-17 00:00:00.000 UTC,rsETH,0
2023-11-18 00:00:00.000 UTC,rsETH,0
2023-11-19 00:00:00.000 UTC,rsETH,0
2023-11-20 00:00:00.000 UTC,rsETH,0
2023-11-21 00:00:00.000 UTC,rsETH,0
2023-11-22 00:00:00.000 UTC,rsETH,0
2023-11-23 00:00:00.000 UTC,rsETH,0
2023-11-24 00:00:00.000 UTC,rsETH,0
2023-11-25 00:00:00.000 UTC,rsETH,0
2023-11-26 00:00:00.000 UTC,rsETH,0
2023-11-27 00:00:00.000 UTC,rsETH,0
2023-11-28 00:00:00.000 UTC,rsETH,0
2023-11-29 00:00:00.000 UTC,rsETH,0
2023-11-30 00:00:00.000 UTC,rsETH,0
2023-12-01 00:00:00.000 UTC,rsETH,0
2023-12-02 00:00:00.000 UTC,rsETH,0
2023-12-03 00:00:00.000 UTC,rsETH,0
2023-12-04 00:00:00.000 UTC,rsETH,0
2023-12-05 00:00:00.000 UTC,rsETH,0
2023-12-06 00:00:00.000 UTC,rsETH,0
2023-12-07 00:00:00.000 UTC,rsETH,0
2023-12-08 00:00:00.000 UTC,rsETH,0
2023-12-09 00:00:00.000 UTC,rsETH,0
2023-12-10 00:00:00.000 UTC,rsETH,0
2023-12-11 00:00:00.000 UTC,rsETH,1.5277211240015536
2023-12-12 00:00:00.000 UTC,rsETH,983.2607410799543
2023-12-13 00:00:00.000 UTC,rsETH,4146.341537019397
2023-12-14 00:00:00.000 UTC,rsETH,5532.676609974105
2023-12-15 00:00:00.000 UTC,rsETH,7013.546040841346
2023-12-16 00:00:00.000 UTC,rsETH,8002.623441285243
2023-12-17 00:00:00.000 UTC,rsETH,15188.383336538831
2023-12-18 00:00:00.000 UTC,rsETH,38732.49343704938
2023-12-19 00:00:00.000 UTC,rsETH,41928.61047088725
2023-12-20 00:00:00.000 UTC,rsETH,43438.93651398878
2023-12-21 00:00:00.000 UTC,rsETH,45723.934547361896
2023-12-22 00:00:00.000 UTC,rsETH,49747.51806365741
2023-12-23 00:00:00.000 UTC,rsETH,53237.40511790365
2023-12-24 00:00:00.000 UTC,rsETH,54510.29337481058
2023-12-25 00:00:00.000 UTC,rsETH,55022.40359633238
2023-12-26 00:00:00.000 UTC,rsETH,56179.25851752198
2023-12-27 00:00:00.000 UTC,rsETH,57115.93556571287
2023-12-28 00:00:00.000 UTC,rsETH,57538.783694237674
2023-12-29 00:00:00.000 UTC,rsETH,59512.43346128926
2023-12-30 00:00:00.000 UTC,rsETH,60244.185999289584
2023-12-31 00:00:00.000 UTC,rsETH,61059.62089305585
2024-01-01 00:00:00.000 UTC,rsETH,61807.26658531052
2024-01-02 00:00:00.000 UTC,rsETH,62596.62980699277
2024-01-03 00:00:00.000 UTC,rsETH,62782.161398331235
2024-01-04 00:00:00.000 UTC,rsETH,62874.877547461845
2024-01-05 00:00:00.000 UTC,rsETH,63007.62519292013
2024-01-06 00:00:00.000 UTC,rsETH,63159.667265714954
2024-01-07 00:00:00.000 UTC,rsETH,63699.00845018952
2024-01-08 00:00:00.000 UTC,rsETH,64222.06134199959
2024-01-09 00:00:00.000 UTC,rsETH,64361.277259805756
2024-01-10 00:00:00.000 UTC,rsETH,64713.58303581822
2024-01-11 00:00:00.000 UTC,rsETH,65023.97571324566
2024-01-12 00:00:00.000 UTC,rsETH,65321.08855211946
2024-01-13 00:00:00.000 UTC,rsETH,65523.51325964317
2024-01-14 00:00:00.000 UTC,rsETH,65779.45107630327
2024-01-15 00:00:00.000 UTC,rsETH,65923.98680657496
2024-01-16 00:00:00.000 UTC,rsETH,66309.69801776657
2024-01-17 00:00:00.000 UTC,rsETH,66854.82503314922
2024-01-18 00:00:00.000 UTC,rsETH,67254.70453251485
2024-01-19 00:00:00.000 UTC,rsETH,71285.61134834606
2024-01-20 00:00:00.000 UTC,rsETH,73532.16132614238
2024-01-21 00:00:00.000 UTC,rsETH,74871.4918755863
2024-01-22 00:00:00.000 UTC,rsETH,77165.16937504099
2024-01-23 00:00:00.000 UTC,rsETH,79068.83316512647
2024-01-24 00:00:00.000 UTC,rsETH,81576.04354329676
2024-01-25 00:00:00.000 UTC,rsETH,90815.85356463851
2024-01-26 00:00:00.000 UTC,rsETH,95112.08351123182
2024-01-27 00:00:00.000 UTC,rsETH,102435.3178687979
2024-01-28 00:00:00.000 UTC,rsETH,105652.65020527765
2024-01-29 00:00:00.000 UTC,rsETH,109725.90653539832
2024-01-30 00:00:00.000 UTC,rsETH,112200.4078038965
2024-01-31 00:00:00.000 UTC,rsETH,115749.51818517361
2024-02-01 00:00:00.000 UTC,rsETH,119201.58148689607
2024-02-02 00:00:00.000 UTC,rsETH,122843.92238726794
2024-02-03 00:00:00.000 UTC,rsETH,126149.96186037923
2024-02-04 00:00:00.000 UTC,rsETH,128845.52935220921
2024-02-05 00:00:00.000 UTC,rsETH,132543.58079016584
2024-02-06 00:00:00.000 UTC,rsETH,137658.22838169552
2024-02-07 00:00:00.000 UTC,rsETH,140175.30005222853
2024-02-08 00:00:00.000 UTC,rsETH,149400.30549119768
2024-02-09 00:00:00.000 UTC,rsETH,155953.7996679565
2024-02-10 00:00:00.000 UTC,rsETH,156306.44489932826
2024-02-11 00:00:00.000 UTC,rsETH,157420.7520616001
2024-02-12 00:00:00.000 UTC,rsETH,157990.58951887055
2024-02-13 00:00:00.000 UTC,rsETH,161368.56443780672
2024-02-14 00:00:00.000 UTC,rsETH,162183.83336466504
2024-02-15 00:00:00.000 UTC,rsETH,164277.65965405022
2024-02-16 00:00:00.000 UTC,rsETH,165787.25035116446
2024-02-17 00:00:00.000 UTC,rsETH,167492.42209099297
2024-02-18 00:00:00.000 UTC,rsETH,168198.8951399139
2024-02-19 00:00:00.000 UTC,rsETH,169810.550800825
2024-02-20 00:00:00.000 UTC,rsETH,171453.86516141822
2024-02-21 00:00:00.000 UTC,rsETH,175040.1826138428
2024-02-22 00:00:00.000 UTC,rsETH,176664.78672829818
2024-02-23 00:00:00.000 UTC,rsETH,177616.66999230918
2024-02-24 00:00:00.000 UTC,rsETH,179785.74216552178
2024-02-25 00:00:00.000 UTC,rsETH,181783.73864642088
2024-02-26 00:00:00.000 UTC,rsETH,182581.34271604783
2024-02-27 00:00:00.000 UTC,rsETH,184883.76782054585
2024-02-28 00:00:00.000 UTC,rsETH,185058.84309565905
2024-02-29 00:00:00.000 UTC,rsETH,186045.16366389734
2024-03-01 00:00:00.000 UTC,rsETH,186404.23758880832
2024-03-02 00:00:00.000 UTC,rsETH,186781.00874516222
2024-03-03 00:00:00.000 UTC,rsETH,186956.01813292404
2024-03-04 00:00:00.000 UTC,rsETH,187117.34422656527
2024-03-05 00:00:00.000 UTC,rsETH,187220.14158811435
2024-03-06 00:00:00.000 UTC,rsETH,187246.39716658002
2024-03-07 00:00:00.000 UTC,rsETH,187713.6020849788
2024-03-08 00:00:00.000 UTC,rsETH,187766.26112128195
2024-03-09 00:00:00.000 UTC,rsETH,187864.2466694179
2024-03-10 00:00:00.000 UTC,rsETH,187916.56421974197
2024-03-11 00:00:00.000 UTC,rsETH,187980.53290908446
2024-03-12 00:00:00.000 UTC,rsETH,188269.85765051696
2024-03-13 00:00:00.000 UTC,rsETH,188280.41197947087
2024-03-14 00:00:00.000 UTC,rsETH,188299.49824916266
2024-03-15 00:00:00.000 UTC,rsETH,188391.11765540525
2024-03-16 00:00:00.000 UTC,rsETH,188542.81632724367
2024-03-17 00:00:00.000 UTC,rsETH,188699.23304805244
2024-03-18 00:00:00.000 UTC,rsETH,189087.82572566686
2024-03-19 00:00:00.000 UTC,rsETH,189337.85374677816
2024-03-20 00:00:00.000 UTC,rsETH,189564.0518028822
2024-03-21 00:00:00.000 UTC,rsETH,190736.34947096847
2024-03-22 00:00:00.000 UTC,rsETH,192925.05836601811
2024-03-23 00:00:00.000 UTC,rsETH,193559.02426464943
2024-03-24 00:00:00.000 UTC,rsETH,193773.9027510999
2024-03-25 00:00:00.000 UTC,rsETH,195008.75181498058
2024-03-26 00:00:00.000 UTC,rsETH,195160.91014622693
2024-03-27 00:00:00.000 UTC,rsETH,196109.3090979232
2024-03-28 00:00:00.000 UTC,rsETH,197846.78587394548
2024-03-29 00:00:00.000 UTC,rsETH,204602.5109477286
2024-03-30 00:00:00.000 UTC,rsETH,210842.29078098445
2024-03-31 00:00:00.000 UTC,rsETH,211378.218033517
2024-04-01 00:00:00.000 UTC,rsETH,213488.0867036327
2024-04-02 00:00:00.000 UTC,rsETH,214272.9073482404
2024-04-03 00:00:00.000 UTC,rsETH,215886.47614174397
2024-04-04 00:00:00.000 UTC,rsETH,218903.19673053894
2024-04-05 00:00:00.000 UTC,rsETH,220568.11290589088
2024-04-06 00:00:00.000 UTC,rsETH,222842.8343835604
2024-04-07 00:00:00.000 UTC,rsETH,225241.93312351409
2024-04-08 00:00:00.000 UTC,rsETH,227753.79448428823
2024-04-09 00:00:00.000 UTC,rsETH,230585.06482451325
2024-04-10 00:00:00.000 UTC,rsETH,232067.13962498703
2024-04-11 00:00:00.000 UTC,rsETH,233272.43671675582
2024-04-12 00:00:00.000 UTC,rsETH,235084.931673365
2024-04-13 00:00:00.000 UTC,rsETH,236406.05482690697
2024-04-14 00:00:00.000 UTC,rsETH,236658.3005218225
2024-04-15 00:00:00.000 UTC,rsETH,237849.69558285148
2024-04-16 00:00:00.000 UTC,rsETH,240078.77551742626
2024-04-17 00:00:00.000 UTC,rsETH,241398.85248614324
2024-04-18 00:00:00.000 UTC,rsETH,242060.21290072618
2024-04-19 00:00:00.000 UTC,rsETH,245081.6959685577
2024-04-20 00:00:00.000 UTC,rsETH,245982.3382996193
2024-04-21 00:00:00.000 UTC,rsETH,247683.98716885012
2024-04-22 00:00:00.000 UTC,rsETH,248842.36203942218
2024-04-23 00:00:00.000 UTC,rsETH,249405.29057409096
2024-04-24 00:00:00.000 UTC,rsETH,250004.31371847005
2024-04-25 00:00:00.000 UTC,rsETH,250623.80732325476
2024-04-26 00:00:00.000 UTC,rsETH,257124.82676718882
2024-04-27 00:00:00.000 UTC,rsETH,257855.10485542828
2024-04-28 00:00:00.000 UTC,rsETH,258233.7828792525
2024-04-29 00:00:00.000 UTC,rsETH,258490.8671831757
2024-04-30 00:00:00.000 UTC,rsETH,260225.93011090974
2024-05-01 00:00:00.000 UTC,rsETH,260556.94655964145
2024-05-02 00:00:00.000 UTC,rsETH,260634.05457150334
2024-05-03 00:00:00.000 UTC,rsETH,260890.01720217214
2024-05-04 00:00:00.000 UTC,rsETH,261261.09525473593
2024-05-05 00:00:00.000 UTC,rsETH,261714.24674509405
2024-05-06 00:00:00.000 UTC,rsETH,261958.50475526243
2024-05-07 00:00:00.000 UTC,rsETH,263470.4470993687
2024-05-08 00:00:00.000 UTC,rsETH,264596.32466961
2024-05-09 00:00:00.000 UTC,rsETH,264734.47505395045
2024-05-10 00:00:00.000 UTC,rsETH,265324.06425863836
2024-05-11 00:00:00.000 UTC,rsETH,265786.3297494683
2024-05-12 00:00:00.000 UTC,rsETH,266187.9872287686
2024-05-13 00:00:00.000 UTC,rsETH,254954.43641358483
2024-05-14 00:00:00.000 UTC,rsETH,255325.4848898888
2024-05-15 00:00:00.000 UTC,rsETH,255538.9663597775
2024-05-16 00:00:00.000 UTC,rsETH,253928.06001283895
2024-05-17 00:00:00.000 UTC,rsETH,254141.56352214352
2024-05-18 00:00:00.000 UTC,rsETH,251317.13282449477
2024-05-19 00:00:00.000 UTC,rsETH,251490.67012584818
2024-05-20 00:00:00.000 UTC,rsETH,251582.36873987707
2024-05-21 00:00:00.000 UTC,rsETH,253518.12728545978
2024-05-22 00:00:00.000 UTC,rsETH,250418.5834913416
2024-05-23 00:00:00.000 UTC,rsETH,250476.94733568918
2024-05-24 00:00:00.000 UTC,rsETH,250489.11004818053
2024-05-25 00:00:00.000 UTC,rsETH,250548.19627015782
2024-05-26 00:00:00.000 UTC,rsETH,249443.03154356976
2024-05-27 00:00:00.000 UTC,rsETH,249480.4920931639
2024-05-28 00:00:00.000 UTC,rsETH,300871.15542082995
2024-05-29 00:00:00.000 UTC,rsETH,300996.46149304067
2024-05-30 00:00:00.000 UTC,rsETH,301299.4463709874
2024-05-31 00:00:00.000 UTC,rsETH,302815.92306124856
2024-06-01 00:00:00.000 UTC,rsETH,295753.71720538696
2024-06-02 00:00:00.000 UTC,rsETH,295997.3724757737
2024-06-03 00:00:00.000 UTC,rsETH,296620.73978222295
2024-06-04 00:00:00.000 UTC,rsETH,297153.2415629176
2024-06-05 00:00:00.000 UTC,rsETH,297156.0006714451
2024-06-06 00:00:00.000 UTC,rsETH,297113.89946327213
2024-06-07 00:00:00.000 UTC,rsETH,297644.9581141743
2024-06-08 00:00:00.000 UTC,rsETH,296961.0920475664
2024-06-09 00:00:00.000 UTC,rsETH,296987.91426528123
2024-06-10 00:00:00.000 UTC,rsETH,295128.9836652806
2024-06-11 00:00:00.000 UTC,rsETH,295450.6071035246
2024-06-12 00:00:00.000 UTC,rsETH,296894.8046211882
2024-06-13 00:00:00.000 UTC,rsETH,297378.7885656306
2024-06-14 00:00:00.000 UTC,rsETH,297465.5870315092
2024-06-15 00:00:00.000 UTC,rsETH,297521.74521545426
2024-06-16 00:00:00.000 UTC,rsETH,297032.98074970965
2024-06-17 00:00:00.000 UTC,rsETH,298159.39156214584
2024-06-18 00:00:00.000 UTC,rsETH,298286.8584937843
2024-06-19 00:00:00.000 UTC,rsETH,299752.15208442515
2024-06-20 00:00:00.000 UTC,rsETH,299741.7916600338
2024-06-21 00:00:00.000 UTC,rsETH,299814.92911923426
2024-06-22 00:00:00.000 UTC,rsETH,299797.7801969556
2024-06-23 00:00:00.000 UTC,rsETH,299630.5539159758
2024-06-24 00:00:00.000 UTC,rsETH,299639.11647531105
2024-06-25 00:00:00.000 UTC,rsETH,300780.9903976133
2024-06-26 00:00:00.000 UTC,rsETH,300720.04579508275
2024-06-27 00:00:00.000 UTC,rsETH,302290.6982293936
2024-06-28 00:00:00.000 UTC,rsETH,302439.1355252575
2024-06-29 00:00:00.000 UTC,rsETH,294126.8725109866
2024-06-30 00:00:00.000 UTC,rsETH,295371.6344600352
2024-07-01 00:00:00.000 UTC,rsETH,294741.32694013056
2024-07-02 00:00:00.000 UTC,rsETH,294404.2654191388
2024-07-03 00:00:00.000 UTC,rsETH,290593.7845635625
2024-07-04 00:00:00.000 UTC,rsETH,290493.15314028016
2024-07-05 00:00:00.000 UTC,rsETH,285751.2863432832
2024-07-06 00:00:00.000 UTC,rsETH,270238.26457048027
2024-07-07 00:00:00.000 UTC,rsETH,259617.9724203397
2024-07-08 00:00:00.000 UTC,rsETH,259860.50434624197
2024-07-09 00:00:00.000 UTC,rsETH,254921.822611784
2024-07-10 00:00:00.000 UTC,rsETH,253842.5300684549
